Book title,Author,Year,Language,Month,Vote,Resource,Current Page,Total Page,Progress,Missing Pages
Crónica de una muerte anunciada,Gabriel García Márquez,1981,Spanish,Jan,⭐⭐⭐⭐⭐,Kobo,128,128,,0
Cadáver exquisito,Agustina Bazterrica,2017,Spanish,March,,Kobo,85,392,,307
Life 3.0,Max Tegmark,2017,English,March,,Bought,0,335,,
