Book title,Author,Year,Language,Month,Vote,Resource,Current Page,Total Page,Progress,Missing Pages
The Silent Patient,Alex Michaelides,2019,English,Feb,⭐⭐⭐⭐,Bought,339,339,,0
La libreria dei gatti neri,Piergiorgio Pulixi,2023,Italian,Jul,⭐⭐⭐,Bought,296,296,,0
