Book title,Author,Year,Language,Month,Vote,Resource,Current Page,Total Page,Progress,Missing Pages
레몬 (Lemon),권여선 (Kwon Yeo-sun),2021,Italian,Jan,⭐⭐,Library,144,144,,0
Brividi. Storie che non vi faranno dormire la notte,Elisa De Marco,2022,Italian,Feb,⭐⭐⭐⭐,Kobo,188,188,,0
I'm Glad My Mom Died,Jennette McCurdy,2022,English,Mar,⭐⭐⭐⭐,Kobo,320,320,,0
Normal People,Sally Rooney,2018,English,Apr,⭐⭐⭐⭐,Kobo,288,288,,0
아몬드 (Almond),손원평 (Won-Pyung Sohn),2017,English,May,⭐⭐⭐⭐⭐,Kobo,272,272,,0
森崎書店の日々(Una sera tra amici a Jinbōchō),八木沢 里志 (Satoshi Yagisawa),2023,Italian,July,⭐⭐⭐,Kobo,176,176,,0
L'étranger (The stranger),Albert Camus,1942,English,Aug,⭐⭐,Kobo,157,157,,0
Crying in H Mart,Michelle Zauner,2021,English,Nov,⭐⭐⭐,Bought,239,239,,0
"進撃の巨人 (Attack on Titan, Volume 1)",諫山 創 (Hajime Isayama),2010,English,Nov,⭐⭐⭐,Tablet,208,208,,0
The Hunger Games,Suzanne Collins,2008,English,Dec,⭐⭐⭐,Audible,386,386,,0
